Targa2,Euro 0,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Elettrico
DP,0.00602267359470949,0.00177137458667926,0.00637694851204535,0.0203117619272556,0.959966934341049,0.00555030703826169,0,0
DR,0.00262869660460022,0.000657174151150055,0.00350492880613363,0.00657174151150055,0.978532311062432,0.00700985761226725,0.000219058050383352,0.000876232201533406
DS,0.00229287679608682,0.00152858453072455,0.00290431060837664,0.00871293182512993,0.93900947722409,0.0453989605625191,0,0.000152858453072455
DT,0.00164473684210526,0.00093984962406015,0.00493421052631579,0.00704887218045113,0.889802631578947,0.0956296992481203,0,0
DV,0.00581184162731566,0.00169512047463373,0.0064172417968277,0.0156193243734108,0.839932195181015,0.130524276546797,0,0
DW,0.00228206298493838,0.00136923779096303,0.00228206298493838,0.00456412596987677,0.781378366042903,0.208124144226381,0,0
DX,0.00128755364806867,0.000643776824034335,0.00300429184549356,0.00869098712446352,0.79206008583691,0.19431330472103,0,0
DY,0.00493827160493827,0.002361782071927,0.00558239398819109,0.0144927536231884,0.626301663982823,0.346108427267848,0.000214707461084273,0
DZ,0.00105610561056106,0.000396039603960396,0.000792079207920792,0.00264026402640264,0.656237623762376,0.338613861386139,0.000264026402640264,0
EA,0.00221827861579414,0,0.000887311446317658,0.00532386867790594,0.55678793256433,0.433451641526176,0.00133096716947649,0
EB,0.00289855072463768,0.00072463768115942,0.00193236714975845,0.00289855072463768,0.506763285024155,0.484057971014493,0.00072463768115942,0
EC,0.00449236298292902,0.00189677548168114,0.00509134471398622,0.0119796346211441,0.427073974243786,0.548966756513926,0.000499151442547669,0
ED,0.0025018395879323,0.00169242089771891,0.00345842531272995,0.00699043414275202,0.258204562178072,0.726269315673289,0.000809418690213392,7.35835172921266E-05
EF,0.00560747663551402,0.000623052959501558,0.00155763239875389,0.0059190031152648,0.233333333333333,0.75202492211838,0.000934579439252336,0
EG,0.000503524672708963,0.000251762336354481,0.00100704934541793,0.00176233635448137,0.105740181268882,0.889979859013092,0.000755287009063444,0
EH,0.000868055555555556,0.000124007936507937,0.00124007936507937,0.00446428571428571,0.074156746031746,0.918774801587302,0.00037202380952381,0
EJ,0.00251104861390117,0.00120530333467256,0.00261149055845721,0.00622740056247489,0.0792486942547208,0.907292085174769,0.000803535556448373,0.000100441944556047
EK,0.00420168067226891,0.00105042016806723,0.00567226890756303,0.00987394957983193,0.0705882352941176,0.905672268907563,0.00252100840336134,0.000420168067226891
EL,0.00208671458381637,0.000463714351959193,0.00150707164386738,0.00428935775562254,0.0399953628564804,0.947716206816601,0.00359378622768375,0.000347785763969395
EM,0.00197284437739352,0.000348149007775328,0.00150864570035975,0.00487408610885459,0.0301729140071951,0.956133225020309,0.00499013577811303,0
EN,0.00332640332640333,0.00110880110880111,0.00346500346500346,0.00748440748440748,0.0486486486486487,0.926126126126126,0.00963270963270963,0.000207900207900208
EP,0.0028045360321912,0.00121936349225704,0.0029264723814169,0.00512132666747958,0.0285331057188148,0.944762833800756,0.0142665528594074,0.000365809047677113
ER,0.00401652513197154,0.0012623364700482,0.00481983015836585,0.00722974523754877,0.0305255910029837,0.932866651365619,0.018705531328896,0.000573789304567363
ES,0.00227051573143042,0.000973078170613039,0.00324359390204346,0.00497351064979998,0.0324359390204346,0.9229105849281,0.0322196994269651,0.000973078170613039
ET,0.0021362151294295,0.000125659713495853,0.00175923598894195,0.0037697914048756,0.017969339029907,0.8939432018095,0.0800452374968585,0.000251319426991706
EV,0.00363227536106547,0.000605379226844245,0.00406468909452564,0.00743751621551501,0.0335553057165096,0.812418922424976,0.137334601746951,0.000951310213612384
EW,0.00271414612962762,0.000759960916295733,0.00303984366518293,0.00640538486592118,0.0257301053088698,0.755184019107589,0.205080881554663,0.00108565845185105
EX,0.0017710663683818,0.000559284116331096,0.00223713646532438,0.00344891871737509,0.0279642058165548,0.694630872483222,0.268363161819538,0.00102535421327368
EY,0.00122369065100343,0.000489476260401371,0.00159079784630445,0.00367107195301028,0.0215369554576603,0.59630445423397,0.374082232011747,0.00110132158590308
EZ,0.00177427304090685,0.000492853622474125,0.00177427304090685,0.00335140463282405,0.018038442582553,0.502809265648102,0.470773780187284,0.00098570724494825
FA,0.00212396215485615,0.000675806140181502,0.00251013709210272,0.00473064298127052,0.0315698011199073,0.345530025101371,0.612280363004441,0.000579262405869859
FB,0.00154693995939283,0.000773469979696413,0.00164362370685488,0.00396403364594412,0.0183699120177898,0.184375906410132,0.788649328047955,0.000676786232234361
FC,0.00238877276799045,0.0015925151786603,0.00248830496665671,0.00408082014531701,0.0231910022892406,0.158554792475366,0.807106598984772,0.000597193191997611
FD,0.00192003614185679,0.000338829907386492,0.00146826293200813,0.00327535577140276,0.0116331601536029,0.123559972893607,0.856787892477976,0.00101648972215948
